NAME,median_household_income,state,county,tract
Census Tract 205; Milwaukee County; Wisconsin,56729.0,55,079,020500
Census Tract 206; Milwaukee County; Wisconsin,84688.0,55,079,020600
Census Tract 207; Milwaukee County; Wisconsin,66688.0,55,079,020700
Census Tract 208; Milwaukee County; Wisconsin,93750.0,55,079,020800
Census Tract 209; Milwaukee County; Wisconsin,85885.0,55,079,020900
Census Tract 210; Milwaukee County; Wisconsin,56940.0,55,079,021000
Census Tract 211; Milwaukee County; Wisconsin,70781.0,55,079,021100
Census Tract 212; Milwaukee County; Wisconsin,43780.0,55,079,021200
Census Tract 213; Milwaukee County; Wisconsin,41635.0,55,079,021300
Census Tract 214; Milwaukee County; Wisconsin,32268.0,55,079,021400
Census Tract 215; Milwaukee County; Wisconsin,77981.0,55,079,021500
Census Tract 216; Milwaukee County; Wisconsin,80324.0,55,079,021600
Census Tract 217; Milwaukee County; Wisconsin,74041.0,55,079,021700
Census Tract 218; Milwaukee County; Wisconsin,59135.0,55,079,021800
Census Tract 301; Milwaukee County; Wisconsin,156528.0,55,079,030100
Census Tract 351; Milwaukee County; Wisconsin,220250.0,55,079,035100
Census Tract 352; Milwaukee County; Wisconsin,117024.0,55,079,035200
Census Tract 401; Milwaukee County; Wisconsin,204427.0,55,079,040100
Census Tract 501.01; Milwaukee County; Wisconsin,95045.0,55,079,050101
Census Tract 501.03; Milwaukee County; Wisconsin,72219.0,55,079,050103
Census Tract 501.04; Milwaukee County; Wisconsin,106250.0,55,079,050104
Census Tract 601.01; Milwaukee County; Wisconsin,87989.0,55,079,060101
Census Tract 601.02; Milwaukee County; Wisconsin,90192.0,55,079,060102
Census Tract 602; Milwaukee County; Wisconsin,65466.0,55,079,060200
Census Tract 701; Milwaukee County; Wisconsin,171688.0,55,079,070100
Census Tract 702; Milwaukee County; Wisconsin,224750.0,55,079,070200
Census Tract 703; Milwaukee County; Wisconsin,101397.0,55,079,070300
Census Tract 801; Milwaukee County; Wisconsin,90870.0,55,079,080100
Census Tract 802; Milwaukee County; Wisconsin,81544.0,55,079,080200
Census Tract 803; Milwaukee County; Wisconsin,151667.0,55,079,080300
Census Tract 804; Milwaukee County; Wisconsin,47157.0,55,079,080400
Census Tract 901; Milwaukee County; Wisconsin,75766.0,55,079,090100
Census Tract 902; Milwaukee County; Wisconsin,92045.0,55,079,090200
Census Tract 903; Milwaukee County; Wisconsin,81833.0,55,079,090300
Census Tract 906; Milwaukee County; Wisconsin,94111.0,55,079,090600
Census Tract 907; Milwaukee County; Wisconsin,167083.0,55,079,090700
Census Tract 908; Milwaukee County; Wisconsin,141319.0,55,079,090800
Census Tract 909; Milwaukee County; Wisconsin,108276.0,55,079,090900
Census Tract 910; Milwaukee County; Wisconsin,104174.0,55,079,091000
Census Tract 911; Milwaukee County; Wisconsin,162125.0,55,079,091100
Census Tract 912; Milwaukee County; Wisconsin,72480.0,55,079,091200
Census Tract 913; Milwaukee County; Wisconsin,119809.0,55,079,091300
Census Tract 914; Milwaukee County; Wisconsin,111705.0,55,079,091400
Census Tract 1001; Milwaukee County; Wisconsin,56520.0,55,079,100100
Census Tract 1002; Milwaukee County; Wisconsin,67792.0,55,079,100200
Census Tract 1003; Milwaukee County; Wisconsin,41359.0,55,079,100300
Census Tract 1004; Milwaukee County; Wisconsin,53015.0,55,079,100400
Census Tract 1005; Milwaukee County; Wisconsin,66851.0,55,079,100500
Census Tract 1006; Milwaukee County; Wisconsin,74954.0,55,079,100600
Census Tract 1007; Milwaukee County; Wisconsin,77764.0,55,079,100700
Census Tract 1008; Milwaukee County; Wisconsin,74325.0,55,079,100800
Census Tract 1009; Milwaukee County; Wisconsin,62071.0,55,079,100900
Census Tract 1010; Milwaukee County; Wisconsin,80431.0,55,079,101000
