NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 128; Milwaukee County; Wisconsin,2871.0,0.0,100.0,3.5,55,079,012800
Census Tract 129; Milwaukee County; Wisconsin,2691.0,4.0,196.0,7.3,55,079,012900
Census Tract 130; Milwaukee County; Wisconsin,1637.0,43.0,203.0,12.4,55,079,013000
Census Tract 133; Milwaukee County; Wisconsin,970.0,5.0,40.0,4.1,55,079,013300
Census Tract 134; Milwaukee County; Wisconsin,2270.0,0.0,337.0,14.8,55,079,013400
Census Tract 135; Milwaukee County; Wisconsin,1690.0,5.0,88.0,5.2,55,079,013500
Census Tract 136; Milwaukee County; Wisconsin,2046.0,0.0,0.0,0.0,55,079,013600
Census Tract 137; Milwaukee County; Wisconsin,1293.0,0.0,68.0,5.3,55,079,013700
Census Tract 141; Milwaukee County; Wisconsin,1959.0,0.0,18.0,0.9,55,079,014100
Census Tract 143; Milwaukee County; Wisconsin,2516.0,25.0,40.0,1.6,55,079,014300
Census Tract 144; Milwaukee County; Wisconsin,3246.0,17.0,57.0,1.8,55,079,014400
Census Tract 146; Milwaukee County; Wisconsin,2891.0,4.0,49.0,1.7,55,079,014600
Census Tract 147; Milwaukee County; Wisconsin,3125.0,19.0,45.0,1.4,55,079,014700
Census Tract 148; Milwaukee County; Wisconsin,2421.0,0.0,94.0,3.9,55,079,014800
Census Tract 149; Milwaukee County; Wisconsin,1045.0,5.0,123.0,11.8,55,079,014900
Census Tract 157; Milwaukee County; Wisconsin,2872.0,14.0,1309.0,45.6,55,079,015700
Census Tract 158; Milwaukee County; Wisconsin,2563.0,0.0,919.0,35.9,55,079,015800
Census Tract 159; Milwaukee County; Wisconsin,3437.0,14.0,860.0,25.0,55,079,015900
Census Tract 160; Milwaukee County; Wisconsin,3225.0,0.0,1417.0,43.9,55,079,016000
Census Tract 161; Milwaukee County; Wisconsin,3423.0,7.0,1235.0,36.1,55,079,016100
Census Tract 162; Milwaukee County; Wisconsin,3680.0,0.0,876.0,23.8,55,079,016200
Census Tract 163; Milwaukee County; Wisconsin,5320.0,0.0,2129.0,40.0,55,079,016300
Census Tract 164; Milwaukee County; Wisconsin,4219.0,21.0,2362.0,56.0,55,079,016400
Census Tract 165; Milwaukee County; Wisconsin,2137.0,0.0,629.0,29.4,55,079,016500
Census Tract 166; Milwaukee County; Wisconsin,2070.0,3.0,843.0,40.7,55,079,016600
Census Tract 167; Milwaukee County; Wisconsin,3035.0,128.0,1004.0,33.1,55,079,016700
Census Tract 168; Milwaukee County; Wisconsin,2984.0,55.0,1257.0,42.1,55,079,016800
Census Tract 169; Milwaukee County; Wisconsin,4122.0,11.0,1677.0,40.7,55,079,016900
Census Tract 170; Milwaukee County; Wisconsin,4895.0,21.0,1960.0,40.0,55,079,017000
Census Tract 171; Milwaukee County; Wisconsin,2640.0,0.0,1343.0,50.9,55,079,017100
Census Tract 172; Milwaukee County; Wisconsin,2676.0,0.0,1113.0,41.6,55,079,017200
Census Tract 173; Milwaukee County; Wisconsin,3931.0,0.0,817.0,20.8,55,079,017300
Census Tract 174; Milwaukee County; Wisconsin,2762.0,0.0,1571.0,56.9,55,079,017400
Census Tract 175; Milwaukee County; Wisconsin,4055.0,14.0,1981.0,48.9,55,079,017500
Census Tract 176; Milwaukee County; Wisconsin,2644.0,5.0,1344.0,50.8,55,079,017600
Census Tract 179; Milwaukee County; Wisconsin,2749.0,42.0,125.0,4.5,55,079,017900
Census Tract 180; Milwaukee County; Wisconsin,2886.0,57.0,365.0,12.6,55,079,018000
Census Tract 181; Milwaukee County; Wisconsin,1912.0,12.0,45.0,2.4,55,079,018100
Census Tract 182; Milwaukee County; Wisconsin,1589.0,15.0,102.0,6.4,55,079,018200
Census Tract 183; Milwaukee County; Wisconsin,2314.0,0.0,72.0,3.1,55,079,018300
Census Tract 184; Milwaukee County; Wisconsin,1318.0,0.0,143.0,10.8,55,079,018400
Census Tract 185; Milwaukee County; Wisconsin,1775.0,6.0,266.0,15.0,55,079,018500
Census Tract 186; Milwaukee County; Wisconsin,2981.0,0.0,1641.0,55.0,55,079,018600
Census Tract 187; Milwaukee County; Wisconsin,2986.0,6.0,1254.0,42.0,55,079,018700
Census Tract 188; Milwaukee County; Wisconsin,1542.0,0.0,428.0,27.8,55,079,018800
Census Tract 189; Milwaukee County; Wisconsin,1186.0,13.0,433.0,36.5,55,079,018900
Census Tract 190; Milwaukee County; Wisconsin,4931.0,10.0,1197.0,24.3,55,079,019000
Census Tract 191; Milwaukee County; Wisconsin,3986.0,22.0,701.0,17.6,55,079,019100
Census Tract 192; Milwaukee County; Wisconsin,3110.0,25.0,576.0,18.5,55,079,019200
Census Tract 193; Milwaukee County; Wisconsin,2643.0,0.0,404.0,15.3,55,079,019300
Census Tract 194; Milwaukee County; Wisconsin,3715.0,0.0,201.0,5.4,55,079,019400
Census Tract 195; Milwaukee County; Wisconsin,3085.0,10.0,232.0,7.5,55,079,019500
Census Tract 196; Milwaukee County; Wisconsin,4019.0,34.0,625.0,15.6,55,079,019600
Census Tract 197; Milwaukee County; Wisconsin,5940.0,88.0,356.0,6.0,55,079,019700
Census Tract 198; Milwaukee County; Wisconsin,5437.0,7.0,1300.0,23.9,55,079,019800
Census Tract 199; Milwaukee County; Wisconsin,3696.0,0.0,520.0,14.1,55,079,019900
Census Tract 200; Milwaukee County; Wisconsin,4037.0,14.0,856.0,21.2,55,079,020000
Census Tract 201; Milwaukee County; Wisconsin,3824.0,0.0,473.0,12.4,55,079,020100
Census Tract 202; Milwaukee County; Wisconsin,3144.0,11.0,653.0,20.8,55,079,020200
Census Tract 203; Milwaukee County; Wisconsin,4217.0,53.0,827.0,19.6,55,079,020300
Census Tract 204; Milwaukee County; Wisconsin,3297.0,7.0,1543.0,46.8,55,079,020400
Census Tract 205; Milwaukee County; Wisconsin,3641.0,20.0,1266.0,34.8,55,079,020500
Census Tract 206; Milwaukee County; Wisconsin,3025.0,39.0,268.0,8.9,55,079,020600
Census Tract 207; Milwaukee County; Wisconsin,3893.0,11.0,295.0,7.6,55,079,020700
Census Tract 208; Milwaukee County; Wisconsin,3121.0,29.0,98.0,3.1,55,079,020800
Census Tract 209; Milwaukee County; Wisconsin,2541.0,6.0,81.0,3.2,55,079,020900
